"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed","delabel"
"FARS2.1",1.95890690090165e-33,-0.241597331765022,0.131,0.094,1.2451008152821e-28,"Brain","FARS2","No",NA
"CDK17.1",3.50877820443983e-33,-0.340909775050831,0.203,0.15,2.230214514524e-28,"Brain","CDK17","No",NA
"TRIOBP",5.29450238730375e-33,-0.252891758602424,0.122,0.087,3.36523866239413e-28,"Brain","TRIOBP","No",NA
"RPLP0.1",5.91498236993412e-33,-0.370463330943475,0.257,0.191,3.75962194415383e-28,"Brain","RPLP0","No",NA
"RAP1A",8.92300682016984e-33,-0.285985706801738,0.147,0.107,5.67155236496815e-28,"Brain","RAP1A","No",NA
"DOCK4.1",1.10945097563314e-32,-0.16300723889625,0.373,0.287,7.0517813462218e-28,"Brain","DOCK4","No",NA
"XPO1.1",2.02780840856184e-32,-0.299255294550187,0.152,0.11,1.28889530256599e-27,"Brain","XPO1","No",NA
"NHSL1.1",2.16608284413548e-32,-0.341739185270379,0.185,0.137,1.37678391656096e-27,"Brain","NHSL1","No",NA
"LINC00486.1",2.33634244983761e-32,-0.264233634238594,0.475,0.357,1.48500262454128e-27,"Brain","LINC00486","No",NA
"COMMD10.1",2.85113124373018e-32,-0.305968019231552,0.16,0.117,1.81220752982734e-27,"Brain","COMMD10","No",NA
"GRB10.1",5.74167200055699e-32,-0.424198790911875,0.18,0.132,3.64946414027403e-27,"Brain","GRB10","No",NA
"FGD4.1",7.38507195725622e-32,-0.403891119384761,0.158,0.115,4.69402558675163e-27,"Brain","FGD4","No",NA
"WDPCP.1",1.19039826151436e-31,-0.304640777480828,0.126,0.09,7.56629039001144e-27,"Brain","WDPCP","No",NA
"KANK3.1",1.41374932570716e-31,-0.317546692754562,0.185,0.138,8.98593208912726e-27,"Brain","KANK3","No",NA
"RBM5",1.82772745390524e-31,-0.244854525615245,0.112,0.079,1.16172184697671e-26,"Brain","RBM5","No",NA
"ERG.1",2.57766599249343e-31,-0.318950599882214,0.276,0.208,1.63839028148875e-26,"Brain","ERG","No",NA
"TIA1.1",2.68831257259846e-31,-0.308086588030031,0.136,0.099,1.70871835426931e-26,"Brain","TIA1","No",NA
"CD164.1",2.69605232476924e-31,-0.304721059226848,0.102,0.071,1.71363781814658e-26,"Brain","CD164","No",NA
"ELK3",2.95044291653891e-31,-0.887653912410449,0.218,0.232,1.8753310221813e-26,"Brain","ELK3","Down","ELK3"
"CAV2.1",3.16724175727859e-31,-0.310992460041219,0.124,0.089,2.01313053334385e-26,"Brain","CAV2","No",NA
"RBM39.1",3.35848008241658e-31,-0.306424040276342,0.164,0.121,2.1346835251848e-26,"Brain","RBM39","No",NA
"ZNF280D.1",3.99012875258123e-31,-0.333764596128464,0.138,0.1,2.53616573642815e-26,"Brain","ZNF280D","No",NA
"SGK1.1",4.20008735137916e-31,-0.382053009302298,0.108,0.076,2.66961752141011e-26,"Brain","SGK1","No",NA
"ARHGAP35",4.28863856910606e-31,-0.182710345827991,0.107,0.076,2.7259015609095e-26,"Brain","ARHGAP35","No",NA
"KANSL1.1",4.51092685288397e-31,-0.372055124808939,0.24,0.179,2.86719021696158e-26,"Brain","KANSL1","No",NA
"THADA",4.59517550986556e-31,-0.235207143515496,0.108,0.077,2.92073950582565e-26,"Brain","THADA","No",NA
"SENP6.1",4.74214998144767e-31,-0.332279526467741,0.177,0.131,3.01415794970795e-26,"Brain","SENP6","No",NA
"FAF1.1",1.37231311286351e-30,-0.36444113367418,0.198,0.147,8.72255937667174e-26,"Brain","FAF1","No",NA
"S100A11",2.08722733758583e-30,-0.218192901408345,0.1,0.071,1.32666256804293e-25,"Brain","S100A11","No",NA
"CBFA2T2",3.84781552252962e-30,-0.240241247224443,0.105,0.074,2.44571002427505e-25,"Brain","CBFA2T2","No",NA
"ZNF704.1",3.945895131097e-30,-0.336324458811587,0.154,0.113,2.50805040427656e-25,"Brain","ZNF704","No",NA
"ANO6.1",6.98717034607568e-30,-0.28937343482853,0.132,0.096,4.44111534366916e-25,"Brain","ANO6","No",NA
"INVS",1.69534534561262e-29,-0.271525898152487,0.117,0.084,1.07757845512484e-24,"Brain","INVS","No",NA
"RPS14.1",3.00825894620951e-29,-0.375017666136303,0.234,0.175,1.91207946880022e-24,"Brain","RPS14","No",NA
"PTBP3.1",9.92357452428321e-29,-0.29852070701087,0.125,0.091,6.30752320337965e-24,"Brain","PTBP3","No",NA
"SUPT3H",1.13643583941687e-28,-0.259270521570343,0.102,0.072,7.22329983891759e-24,"Brain","SUPT3H","No",NA
"ATP8B1.1",1.14674858556791e-28,-0.832950225780873,0.133,0.156,7.28884868472821e-24,"Brain","ATP8B1","Down","ATP8B1"
"RPS25.1",1.15728463140258e-28,-0.268029132193457,0.12,0.087,7.35581684565796e-24,"Brain","RPS25","No",NA
"RPL35A.1",2.34218551969234e-28,-0.317074967850709,0.216,0.163,1.48871653817165e-23,"Brain","RPL35A","No",NA
"PDIA6",3.10951519766556e-28,-0.338595365599063,0.153,0.114,1.97643895478821e-23,"Brain","PDIA6","No",NA
"SRSF4.1",3.38850958747536e-28,-0.331364738999634,0.147,0.109,2.15377057889522e-23,"Brain","SRSF4","No",NA
"CDKAL1.1",4.12899935920058e-28,-0.307920136902518,0.192,0.145,2.62443328270148e-23,"Brain","CDKAL1","No",NA
"EFNB2.1",5.92973189307563e-28,-0.959327505307968,0.199,0.214,3.7689968885578e-23,"Brain","EFNB2","Down","EFNB2"
"ZFAND3.1",8.09744440975059e-28,-0.268925856634062,0.34,0.259,5.14681664128157e-23,"Brain","ZFAND3","No",NA
"LIMA1",4.08457673550352e-27,-0.274566219993541,0.103,0.074,2.59619781885339e-22,"Brain","LIMA1","No",NA
"HSPB1.1",4.14632099838678e-27,-0.393960300640225,0.198,0.149,2.63544308978462e-22,"Brain","HSPB1","No",NA
"RPS21.1",2.68068785629711e-26,-0.35725820931284,0.206,0.156,1.703872008341e-21,"Brain","RPS21","No",NA
"FER.1",6.187697346342e-26,-0.298985855518147,0.177,0.134,3.93296231030844e-21,"Brain","FER","No",NA
"SNX29",6.69033673988694e-26,-0.311639563224193,0.117,0.086,4.25244493523954e-21,"Brain","SNX29","No",NA
"AC007319.1",1.1480610517962e-25,-0.767432495051589,0.094,0.117,7.29719085132183e-21,"Brain","AC007319.1","Down","AC007319.1"
"PIP4K2A.1",1.58575416855335e-25,-0.91989470608427,0.109,0.131,1.0079212070742e-20,"Brain","PIP4K2A","Down","PIP4K2A"
"THSD7A.1",2.10194768471474e-25,-0.848595521988516,0.145,0.166,1.33601896788154e-20,"Brain","THSD7A","Down","THSD7A"
"BTBD7.1",3.82743645403534e-25,-0.345229075737497,0.151,0.113,2.4327568845494e-20,"Brain","BTBD7","No",NA
"CACHD1",5.77868849584537e-25,-0.255078484680498,0.104,0.076,3.67299219484428e-20,"Brain","CACHD1","No",NA
"SPRED1.1",6.99730259796433e-25,-0.212273977009085,0.136,0.103,4.44755550429211e-20,"Brain","SPRED1","No",NA
"RIN2.1",1.71034061457637e-24,-0.873857700606871,0.099,0.12,1.08710959803089e-19,"Brain","RIN2","Down","RIN2"
"FAM172A.1",4.84552409845496e-24,-0.316170391928758,0.155,0.117,3.07986357221896e-19,"Brain","FAM172A","No",NA
"FNDC3B.1",9.04713348077918e-24,-0.791940427569725,0.186,0.2,5.75044851171805e-19,"Brain","FNDC3B","Down","FNDC3B"
"NFIC.1",2.35308333191609e-23,-0.317632772871116,0.16,0.122,1.49564329659919e-18,"Brain","NFIC","No",NA
"LGALS1.1",2.41545930687251e-23,-0.265987613368316,0.113,0.084,1.53529009004124e-18,"Brain","LGALS1","No",NA
"FCHSD2",2.96157969526458e-23,-0.44010665590133,0.309,0.237,1.88240967010712e-18,"Brain","FCHSD2","No",NA
