"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed","delabel"
"LAMB2.6",1.63529384675336e-70,0.16124858132027,0.213,0.118,1.0394091219349e-65,"Pancreas","LAMB2","No",NA
"PTPRA.7",1.7249629898876e-70,0.133856756483665,0.238,0.135,1.09640372600246e-65,"Pancreas","PTPRA","No",NA
"BAZ1B.3",2.09546973520791e-70,0.282018006808629,0.159,0.082,1.3319015183955e-65,"Pancreas","BAZ1B","No",NA
"ADAM19.1",2.75589265848901e-70,0.253973567416675,0.107,0.048,1.7516729326622e-65,"Pancreas","ADAM19","No",NA
"PAK2.6",2.99294532839772e-70,0.16411443091519,0.205,0.112,1.90234598018287e-65,"Pancreas","PAK2","No",NA
"ITPRIP.1",3.99801510283684e-70,0.268012684629272,0.124,0.058,2.54117837951413e-65,"Pancreas","ITPRIP","No",NA
"S100A6.1",4.91325273381297e-70,0.079578950680306,0.109,0.048,3.12291257013886e-65,"Pancreas","S100A6","No",NA
"HYAL2.5",6.17935675230063e-70,0.0494318322890535,0.286,0.168,3.9276609453298e-65,"Pancreas","HYAL2","No",NA
"SIK3.8",6.63989592588321e-70,0.125753796102288,0.243,0.139,4.22038424945063e-65,"Pancreas","SIK3","No",NA
"SERINC3.1",6.76965287432288e-70,0.167095760403767,0.151,0.076,4.30285906344837e-65,"Pancreas","SERINC3","No",NA
"TPI1.8",7.85695798861331e-70,0.085167879122874,0.196,0.106,4.9939610671425e-65,"Pancreas","TPI1","No",NA
"CHCHD2.1",1.32009954273035e-69,0.132338127878185,0.13,0.062,8.39068470354837e-65,"Pancreas","CHCHD2","No",NA
"SDF4",1.57310470262527e-69,0.136651120919945,0.113,0.051,9.99881080035645e-65,"Pancreas","SDF4","No",NA
"LINC00657.9",1.58546549754316e-69,0.0676064429193364,0.221,0.124,1.00773772489341e-64,"Pancreas","LINC00657","No",NA
"DPYSL3.7",1.69114719528495e-69,0.0496729942814094,0.2,0.108,1.07491006879507e-64,"Pancreas","DPYSL3","No",NA
"COMT.1",1.78577916223833e-69,0.219638404457903,0.131,0.063,1.1350590933103e-64,"Pancreas","COMT","No",NA
"QSER1.2",2.05805378486833e-69,0.174077035878692,0.144,0.071,1.30811956620016e-64,"Pancreas","QSER1","No",NA
"SMARCA4.6",2.23422259087544e-69,0.18578149210087,0.172,0.091,1.42009422098634e-64,"Pancreas","SMARCA4","No",NA
"UTRN.8",2.64518411733341e-69,0.122889148445375,0.543,0.355,1.68130547681829e-64,"Pancreas","UTRN","No",NA
"USP22.6",2.81897489601768e-69,0.210998564829792,0.177,0.094,1.7917686336578e-64,"Pancreas","USP22","No",NA
"MAPKAPK2",3.30238551215929e-69,0.252567596623872,0.102,0.045,2.09902925538357e-64,"Pancreas","MAPKAPK2","No",NA
"CTSD.6",3.47411163823276e-69,0.147270847847206,0.186,0.099,2.20818009837713e-64,"Pancreas","CTSD","No",NA
"CAP1.1",4.5800447278183e-69,0.152033016140763,0.163,0.084,2.91112222944859e-64,"Pancreas","CAP1","No",NA
"UBA1.1",7.30932773505812e-69,0.0948452947273317,0.149,0.075,4.64588180168029e-64,"Pancreas","UBA1","No",NA
"KIAA1671.7",8.13364823224673e-69,0.110641640481811,0.249,0.143,5.16982815289835e-64,"Pancreas","KIAA1671","No",NA
"PSMB7",8.51775508006453e-69,0.193634140748507,0.117,0.054,5.41397030643981e-64,"Pancreas","PSMB7","No",NA
